pad;F.Cu;In1.Cu;In2.Cu;In3.Cu;In4.Cu;B.Cu;;Layer Name;velocity (m/s);min flight T (ps);max flight T (ps);mean flight t (s)
Y8;17.870316;14.354844;14.354844;14.354844097652;14.354844195304;14.354844292956;;;;97.164;98.14;9.7652E-11
G20;17.9573325;14.4247425;14.4247425;14.4247425981275;14.424742696255;14.4247427943825;;;;97.637;98.618;9.81275E-11
Y9;17.969319;14.434371;14.434371;14.434371098193;14.434371196386;14.434371294579;;;;97.702;98.684;9.8193E-11
C19;18.0490155;14.4983895;14.4983895;14.4983895986285;14.498389697257;14.4983897958855;;;;98.135;99.122;9.86285E-11
M21;18.089184;14.530656;14.530656;14.530656098848;14.530656197696;14.530656296544;;;;98.354;99.342;9.8848E-11
G1;18.1031835;14.5419015;14.5419015;14.5419015989245;14.541901697849;14.5419017967735;;;;98.43;99.419;9.89245E-11
T3;18.132006;14.565054;14.565054;14.565054099082;14.565054198164;14.565054297246;;;;98.587;99.577;9.9082E-11
Y7;18.197886;14.617974;14.617974;14.617974099442;14.617974198884;14.617974298326;;;;98.945;99.939;9.9442E-11
V7;18.2307345;14.6443605;14.6443605;14.6443605996215;14.644360699243;14.6443607988645;;;;99.123;100.12;9.96215E-11
E21;18.263949;14.671041;14.671041;14.671041099803;14.671041199606;14.671041299409;;;;99.304;100.302;9.9803E-11
N13;18.2781315;14.6824335;14.6824335;14.6824335998805;14.682433699761;14.6824337996415;;;;99.381;100.38;9.98805E-11
H14;18.3103395;14.7083055;14.7083055;14.7083056000565;14.708305700113;14.7083058001695;;;;99.556;100.557;1.000565E-10
E3;18.3277245;14.7222705;14.7222705;14.7222706001515;14.722270700303;14.7222708004545;;;;99.651;100.652;1.001515E-10
J14;18.4038525;14.7834225;14.7834225;14.7834226005675;14.783422701135;14.7834228017025;;;;100.065;101.07;1.005675E-10
P19;18.411264;14.789376;14.789376;14.789376100608;14.789376201216;14.789376301824;;;;100.105;101.111;1.00608E-10
V8;18.4208715;14.7970935;14.7970935;14.7970936006605;14.797093701321;14.7970938019815;;;;100.157;101.164;1.006605E-10
L1;18.4272765;14.8022385;14.8022385;14.8022386006955;14.802238701391;14.8022388020865;;;;100.192;101.199;1.006955E-10
G13;18.4541775;14.8238475;14.8238475;14.8238476008425;14.823847701685;14.8238478025275;;;;100.338;101.347;1.008425E-10
V9;18.5416515;14.8941135;14.8941135;14.8941136013205;14.894113702641;14.8941138039615;;;;100.814;101.827;1.013205E-10
D21;18.5511675;14.9017575;14.9017575;14.9017576013725;14.901757702745;14.9017578041175;;;;100.866;101.879;1.013725E-10
F1;18.5788005;14.9239545;14.9239545;14.9239546015235;14.923954703047;14.9239548045705;;;;101.016;102.031;1.015235E-10
